timeframe,tp,sl,hold,min_adx,min_rsi,win_rate,total_signals
30m,0.01,0.02,10,14,48,0.0,6
30m,0.01,0.02,10,14,52,0.0,4
30m,0.01,0.02,10,14,56,0.0,1
30m,0.01,0.02,10,18,48,0.0,6
30m,0.01,0.02,10,18,52,0.0,4
30m,0.01,0.02,10,18,56,0.0,1
30m,0.01,0.02,10,22,48,0.0,6
30m,0.01,0.02,10,22,52,0.0,4
30m,0.01,0.02,10,22,56,0.0,1
30m,0.01,0.02,15,14,48,0.0,1
30m,0.01,0.02,15,14,52,0.0,1
30m,0.01,0.02,15,14,56,0,0
30m,0.01,0.02,15,18,48,0.0,1
30m,0.01,0.02,15,18,52,0.0,1
30m,0.01,0.02,15,18,56,0,0
30m,0.01,0.02,15,22,48,0.0,1
30m,0.01,0.02,15,22,52,0.0,1
30m,0.01,0.02,15,22,56,0,0
30m,0.02,0.01,5,14,48,0.0,7
30m,0.02,0.01,5,14,52,0.0,4
30m,0.02,0.01,5,14,56,0.0,1
30m,0.02,0.01,5,18,48,0.0,7
30m,0.02,0.01,5,18,52,0.0,4
30m,0.02,0.01,5,18,56,0.0,1
30m,0.02,0.01,5,22,48,0.0,6
30m,0.02,0.01,5,22,52,0.0,4
30m,0.02,0.01,5,22,56,0.0,1
30m,0.02,0.01,10,14,48,0.0,6
30m,0.02,0.01,10,14,52,0.0,4
30m,0.02,0.01,10,14,56,0.0,1
30m,0.02,0.01,10,18,48,0.0,6
30m,0.02,0.01,10,18,52,0.0,4
30m,0.02,0.01,10,18,56,0.0,1
30m,0.02,0.01,10,22,48,0.0,6
30m,0.02,0.01,10,22,52,0.0,4
30m,0.02,0.01,10,22,56,0.0,1
30m,0.02,0.01,15,14,48,0.0,1
30m,0.02,0.01,15,14,52,0.0,1
30m,0.02,0.01,15,14,56,0,0
30m,0.02,0.01,15,18,48,0.0,1
30m,0.02,0.01,15,18,52,0.0,1
30m,0.02,0.01,15,18,56,0,0
30m,0.02,0.01,15,22,48,0.0,1
30m,0.02,0.01,15,22,52,0.0,1
30m,0.02,0.01,15,22,56,0,0
30m,0.02,0.015,5,14,48,0.0,7
30m,0.02,0.015,5,14,52,0.0,4
30m,0.02,0.015,5,14,56,0.0,1
30m,0.02,0.015,5,18,48,0.0,7
30m,0.02,0.015,5,18,52,0.0,4
30m,0.02,0.015,5,18,56,0.0,1
30m,0.02,0.015,5,22,48,0.0,6
30m,0.02,0.015,5,22,52,0.0,4
30m,0.02,0.015,5,22,56,0.0,1
30m,0.02,0.015,10,14,48,0.0,6
30m,0.02,0.015,10,14,52,0.0,4
30m,0.02,0.015,10,14,56,0.0,1
30m,0.02,0.015,10,18,48,0.0,6
30m,0.02,0.015,10,18,52,0.0,4
30m,0.02,0.015,10,18,56,0.0,1
30m,0.02,0.015,10,22,48,0.0,6
30m,0.02,0.015,10,22,52,0.0,4
30m,0.02,0.015,10,22,56,0.0,1
30m,0.02,0.015,15,14,48,0.0,1
30m,0.02,0.015,15,14,52,0.0,1
30m,0.02,0.015,15,14,56,0,0
30m,0.02,0.015,15,18,48,0.0,1
30m,0.02,0.015,15,18,52,0.0,1
30m,0.02,0.015,15,18,56,0,0
30m,0.02,0.015,15,22,48,0.0,1
30m,0.02,0.015,15,22,52,0.0,1
30m,0.02,0.015,15,22,56,0,0
30m,0.02,0.02,5,14,48,0.0,7
30m,0.02,0.02,5,14,52,0.0,4
30m,0.02,0.02,5,14,56,0.0,1
30m,0.02,0.02,5,18,48,0.0,7
30m,0.02,0.02,5,18,52,0.0,4
30m,0.02,0.02,5,18,56,0.0,1
30m,0.02,0.02,5,22,48,0.0,6
30m,0.02,0.02,5,22,52,0.0,4
30m,0.02,0.02,5,22,56,0.0,1
30m,0.02,0.02,10,14,48,0.0,6
30m,0.02,0.02,10,14,52,0.0,4
30m,0.02,0.02,10,14,56,0.0,1
30m,0.02,0.02,10,18,48,0.0,6
30m,0.02,0.02,10,18,52,0.0,4
30m,0.02,0.02,10,18,56,0.0,1
30m,0.02,0.02,10,22,48,0.0,6
30m,0.02,0.02,10,22,52,0.0,4
30m,0.02,0.02,10,22,56,0.0,1
30m,0.02,0.02,15,14,48,0.0,1
30m,0.02,0.02,15,14,52,0.0,1
30m,0.02,0.02,15,14,56,0,0
30m,0.02,0.02,15,18,48,0.0,1
30m,0.02,0.02,15,18,52,0.0,1
30m,0.02,0.02,15,18,56,0,0
30m,0.02,0.02,15,22,48,0.0,1
30m,0.02,0.02,15,22,52,0.0,1
30m,0.02,0.02,15,22,56,0,0
1h,0.005,0.01,5,14,48,42.5531914893617,47
1h,0.005,0.01,5,14,52,43.90243902439025,41
1h,0.005,0.01,5,14,56,43.24324324324324,37
1h,0.005,0.01,5,18,48,42.5531914893617,47
1h,0.005,0.01,5,18,52,43.90243902439025,41
1h,0.005,0.01,5,18,56,43.24324324324324,37
1h,0.005,0.01,5,22,48,41.30434782608695,46
1h,0.005,0.01,5,22,52,43.90243902439025,41
1h,0.005,0.01,5,22,56,43.24324324324324,37
1h,0.005,0.01,10,14,48,55.81395348837209,43
1h,0.005,0.01,10,14,52,52.63157894736842,38
1h,0.005,0.01,10,14,56,52.77777777777778,36
1h,0.005,0.01,10,18,48,55.81395348837209,43
1h,0.005,0.01,10,18,52,52.63157894736842,38
1h,0.005,0.01,10,18,56,52.77777777777778,36
1h,0.005,0.01,10,22,48,54.761904761904766,42
1h,0.005,0.01,10,22,52,52.63157894736842,38
1h,0.005,0.01,10,22,56,52.77777777777778,36
1h,0.005,0.01,15,14,48,63.41463414634146,41
1h,0.005,0.01,15,14,52,60.526315789473685,38
1h,0.005,0.01,15,14,56,58.333333333333336,36
1h,0.005,0.01,15,18,48,63.41463414634146,41
1h,0.005,0.01,15,18,52,60.526315789473685,38
1h,0.005,0.01,15,18,56,58.333333333333336,36
1h,0.005,0.01,15,22,48,63.41463414634146,41
1h,0.005,0.01,15,22,52,60.526315789473685,38
1h,0.005,0.01,15,22,56,58.333333333333336,36
1h,0.005,0.015,5,14,48,42.5531914893617,47
1h,0.005,0.015,5,14,52,43.90243902439025,41
1h,0.005,0.015,5,14,56,43.24324324324324,37
1h,0.005,0.015,5,18,48,42.5531914893617,47
1h,0.005,0.015,5,18,52,43.90243902439025,41
1h,0.005,0.015,5,18,56,43.24324324324324,37
1h,0.005,0.015,5,22,48,41.30434782608695,46
1h,0.005,0.015,5,22,52,43.90243902439025,41
1h,0.005,0.015,5,22,56,43.24324324324324,37
1h,0.005,0.015,10,14,48,62.7906976744186,43
1h,0.005,0.015,10,14,52,60.526315789473685,38
1h,0.005,0.015,10,14,56,61.111111111111114,36
1h,0.005,0.015,10,18,48,62.7906976744186,43
1h,0.005,0.015,10,18,52,60.526315789473685,38
1h,0.005,0.015,10,18,56,61.111111111111114,36
1h,0.005,0.015,10,22,48,61.904761904761905,42
1h,0.005,0.015,10,22,52,60.526315789473685,38
1h,0.005,0.015,10,22,56,61.111111111111114,36
1h,0.005,0.015,15,14,48,75.60975609756098,41
1h,0.005,0.015,15,14,52,73.68421052631578,38
1h,0.005,0.015,15,14,56,72.22222222222221,36
1h,0.005,0.015,15,18,48,75.60975609756098,41
1h,0.005,0.015,15,18,52,73.68421052631578,38
1h,0.005,0.015,15,18,56,72.22222222222221,36
1h,0.005,0.015,15,22,48,75.60975609756098,41
1h,0.005,0.015,15,22,52,73.68421052631578,38
1h,0.005,0.015,15,22,56,72.22222222222221,36
1h,0.005,0.02,5,14,48,42.5531914893617,47
1h,0.005,0.02,5,14,52,43.90243902439025,41
1h,0.005,0.02,5,14,56,43.24324324324324,37
1h,0.005,0.02,5,18,48,42.5531914893617,47
1h,0.005,0.02,5,18,52,43.90243902439025,41
1h,0.005,0.02,5,18,56,43.24324324324324,37
1h,0.005,0.02,5,22,48,41.30434782608695,46
1h,0.005,0.02,5,22,52,43.90243902439025,41
1h,0.005,0.02,5,22,56,43.24324324324324,37
1h,0.005,0.02,10,14,48,62.7906976744186,43
1h,0.005,0.02,10,14,52,60.526315789473685,38
1h,0.005,0.02,10,14,56,61.111111111111114,36
1h,0.005,0.02,10,18,48,62.7906976744186,43
1h,0.005,0.02,10,18,52,60.526315789473685,38
1h,0.005,0.02,10,18,56,61.111111111111114,36
1h,0.005,0.02,10,22,48,61.904761904761905,42
1h,0.005,0.02,10,22,52,60.526315789473685,38
1h,0.005,0.02,10,22,56,61.111111111111114,36
1h,0.005,0.02,15,14,48,75.60975609756098,41
1h,0.005,0.02,15,14,52,73.68421052631578,38
1h,0.005,0.02,15,14,56,72.22222222222221,36
1h,0.005,0.02,15,18,48,75.60975609756098,41
1h,0.005,0.02,15,18,52,73.68421052631578,38
1h,0.005,0.02,15,18,56,72.22222222222221,36
1h,0.005,0.02,15,22,48,75.60975609756098,41
1h,0.005,0.02,15,22,52,73.68421052631578,38
1h,0.005,0.02,15,22,56,72.22222222222221,36
1h,0.01,0.01,5,14,48,25.53191489361702,47
1h,0.01,0.01,5,14,52,24.390243902439025,41
1h,0.01,0.01,5,14,56,24.324324324324326,37
1h,0.01,0.01,5,18,48,25.53191489361702,47
1h,0.01,0.01,5,18,52,24.390243902439025,41
1h,0.01,0.01,5,18,56,24.324324324324326,37
1h,0.01,0.01,5,22,48,23.91304347826087,46
1h,0.01,0.01,5,22,52,24.390243902439025,41
1h,0.01,0.01,5,22,56,24.324324324324326,37
1h,0.01,0.01,10,14,48,39.53488372093023,43
1h,0.01,0.01,10,14,52,39.473684210526315,38
1h,0.01,0.01,10,14,56,38.88888888888889,36
1h,0.01,0.01,10,18,48,39.53488372093023,43
1h,0.01,0.01,10,18,52,39.473684210526315,38
1h,0.01,0.01,10,18,56,38.88888888888889,36
1h,0.01,0.01,10,22,48,38.095238095238095,42
1h,0.01,0.01,10,22,52,39.473684210526315,38
1h,0.01,0.01,10,22,56,38.88888888888889,36
1h,0.01,0.01,15,14,48,43.90243902439025,41
1h,0.01,0.01,15,14,52,44.73684210526316,38
1h,0.01,0.01,15,14,56,44.44444444444444,36
